"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,19408.3131870385,11189.4675608475,33664.0343892859,9.87345676806097,0.280989117108691,17250.3998390869,"index"
"Coastwide",2004,19998.415637877,10921.8311243307,36618.0930168694,9.90340833129206,0.308622717276338,17743.3331980321,"index"
"Coastwide",2005,16821.180476173,9861.32555230367,28693.11139879,9.73039411395205,0.272463291290152,14919.6614268108,"index"
"Coastwide",2006,17319.9700265395,8599.60144877294,34883.1702849475,9.75961545154562,0.357223050559338,14943.0002258928,"index"
"Coastwide",2007,16573.4013227779,9270.72513181632,29628.4948049196,9.7155543592879,0.296402120076059,14559.3732312601,"index"
"Coastwide",2008,25683.0304528862,13167.8473952479,50093.0815375281,10.1535857591314,0.340849337340892,22391.4847285299,"index"
"Coastwide",2009,9719.90219346176,4870.40476053374,19398.079481203,9.18193083500281,0.352556738177046,8426.56455916598,"index"
"Coastwide",2010,16831.7029075703,9567.23916932398,29612.1187894092,9.73101946492838,0.288229536160867,14821.3378754165,"index"
"Coastwide",2011,16470.9425785087,9176.47387308878,29563.8557006226,9.70935305155892,0.298451785865851,14459.971829837,"index"
"Coastwide",2012,19576.0038688439,11461.0238161379,33436.797062876,9.88205980275448,0.273144038598177,17408.9562690998,"index"
"Coastwide",2013,15269.6041000636,8160.94432062712,28570.3222828462,9.63361947122717,0.319650926924905,13521.950798075,"index"
"Coastwide",2014,36064.1209304972,22733.625880162,57211.3232330655,10.4930537700531,0.235439707047424,32419.5949833146,"index"
"Coastwide",2015,26243.7690356106,16615.6522283573,41451.0007629456,10.1751838697711,0.233210119147647,23591.1619032378,"index"
"Coastwide",2016,30117.5399641568,19191.4952124544,47263.9678905238,10.3128630040815,0.229922848297024,27177.2649690548,"index"
"Coastwide",2017,28625.6638409964,18459.7976486043,44389.9031796638,10.2620589315395,0.223834921772673,25802.4626520197,"index"
"Coastwide",2018,20902.8593751244,12736.1568399363,34306.2303289294,9.94764124080188,0.252780674547092,18726.7464031841,"index"
"Coastwide",2019,48222.9092194694,26361.4380359128,88214.0409192084,10.7835894821315,0.308134203512096,43343.8127654328,"index"
"Coastwide",2021,18637.0017295244,10736.1696810001,32352.1184730326,9.83290422388124,0.28139831358276,16511.7643069958,"index"
"Coastwide",2022,25909.2317896029,14965.0404833447,44857.0982934847,10.1623546239311,0.280047236977655,23077.8847584701,"index"
"Coastwide",2023,29823.6713326186,17925.0969696626,49620.4496556651,10.3030576971932,0.259749988271033,26685.1976606103,"index"
"Coastwide",2024,20458.5572902627,12301.2794745877,34025.1245623367,9.92615652334701,0.259544547290049,18225.7948797376,"index"
"Coastwide",2025,18907.0434950103,11146.04692934,32072.0248163695,9.84728980331655,0.269622109867527,16787.2008863568,"index"
