"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,17660.870095377,12142.3301606591,25687.5186557151,9.77910674221816,0.191153387629538,11800.6403101967,"index"
"Coastwide",2004,16641.5164872147,11517.3197739789,24045.531115662,9.71965584527161,0.187783346787398,10985.1285944547,"index"
"Coastwide",2005,22808.9906137477,16274.4052140962,31967.3773618106,10.0349100623812,0.172228237161362,15548.5468668603,"index"
"Coastwide",2006,16404.5751418892,11632.8150278894,23133.7028002854,9.70531554697323,0.175375815388044,10965.7098848622,"index"
"Coastwide",2007,18231.1380616577,13041.7397439296,25485.4338109247,9.81088629368125,0.170909289046355,12456.7872156431,"index"
"Coastwide",2008,20048.4499384478,14369.2332321753,27972.2890177905,9.90590711994306,0.169932970121297,13781.8120163281,"index"
"Coastwide",2009,13447.4686445436,9525.56161630271,18984.1208560859,9.50654616245058,0.175927723454222,9137.07839254804,"index"
"Coastwide",2010,19108.0766789643,13663.9410530577,26721.3238809657,9.85786638742645,0.171100483521776,13362.2668050352,"index"
"Coastwide",2011,22299.82312317,15347.0393583519,32402.4784007635,10.0123340257203,0.190644404658787,15190.7209313038,"index"
"Coastwide",2012,23666.0297261974,16476.0213869171,33993.702110996,10.0717959540156,0.184765946339863,16019.6301314264,"index"
"Coastwide",2013,22464.4197093845,15116.3241809006,33384.4489467226,10.0196879902953,0.202124877279036,14787.3538504249,"index"
"Coastwide",2014,21371.3488932705,15139.4672306856,30168.469376,9.96980646720419,0.175894114927628,14495.2564883874,"index"
"Coastwide",2015,16116.3562149252,11592.4335766256,22405.7300763905,9.6875899492517,0.168106182286528,10823.145971443,"index"
"Coastwide",2016,34627.1869563561,24253.258626292,49438.3907328064,10.4523944026895,0.181680960373943,22765.9680566583,"index"
"Coastwide",2017,23071.173702091,15843.7674917729,33595.4851816936,10.0463392255603,0.191742167067579,15403.9922819408,"index"
"Coastwide",2018,33589.9190096668,22248.7639820375,50712.150121548,10.4219812714592,0.210177095102931,22497.9500129958,"index"
"Coastwide",2019,27956.2326502335,17738.9812964347,44058.389314107,10.2383954465768,0.232083660746716,17864.2712358597,"index"
"Coastwide",2021,22173.5173853626,15636.191250229,31444.0304144897,10.0066539452069,0.178222911094528,14762.6003859902,"index"
"Coastwide",2022,32315.9407429579,22526.212957075,46360.2127926419,10.3833159089229,0.184126331591837,21332.7338131854,"index"
"Coastwide",2023,19505.9214037749,13358.5419819407,28482.2228596961,9.87847336018799,0.193147453283387,12954.6748065579,"index"
"Coastwide",2024,26027.9283719332,17859.855564578,37931.6088467199,10.1669254086491,0.192153858087032,17301.2518885743,"index"
"Coastwide",2025,26296.5254324208,18731.3582502261,36917.0906124551,10.1771920966025,0.173083683733758,17589.9399087072,"index"
