"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,711.42476938362,399.758894395239,1266.07615137172,6.56726967670921,0.29409115672279,643.151012555907,"index"
"Coastwide",2004,1225.45343107152,644.554907844105,2329.88081147027,7.11106620230451,0.327815303821608,1105.9686225596,"index"
"Coastwide",2005,1606.97375314798,852.249578986729,3030.05681314243,7.38210803277773,0.323591974528428,1448.49661089741,"index"
"Coastwide",2006,1132.59918298765,624.027434554378,2055.6482588307,7.03227043231943,0.304126047206082,1024.22941000153,"index"
"Coastwide",2007,1239.11781267237,712.756422851693,2154.19027378087,7.12215496401131,0.282155809624276,1119.74563835083,"index"
"Coastwide",2008,1385.96456914624,793.28908902191,2421.43477518027,7.23415161603655,0.284680695224988,1252.16839271252,"index"
"Coastwide",2009,1640.18868342638,852.803820271262,3154.55776966884,7.40256656507015,0.33369849504755,1473.5666411437,"index"
"Coastwide",2010,1118.86750381893,601.95940450432,2079.64936129345,7.02007229542019,0.316272284415899,1007.44664219332,"index"
"Coastwide",2011,1294.29777541977,694.10926953775,2413.46255550252,7.16572356869529,0.317911031322765,1162.91400705677,"index"
"Coastwide",2012,706.263143704166,335.731753496143,1485.73265102439,6.55998789284205,0.37943319892005,632.053460932075,"index"
"Coastwide",2013,1744.88907023961,852.511330859993,3571.37525007472,7.4644462625526,0.365445369303546,1571.65489511745,"index"
"Coastwide",2014,538.712303813582,246.455033937037,1177.54115890478,6.28918166925039,0.398988000127305,481.874590683052,"index"
"Coastwide",2015,1519.80033616723,855.08617208128,2701.24010565156,7.32633424742742,0.293440084637177,1372.4562701855,"index"
"Coastwide",2016,1164.39386482508,625.167372746578,2168.7201404733,7.05995594289939,0.317320388295538,1048.03885091559,"index"
"Coastwide",2017,730.906391331621,372.867985456308,1432.74342053164,6.59428539591606,0.343404761831638,655.554360592501,"index"
"Coastwide",2018,1175.87014458621,608.129604840281,2273.64460786666,7.06976370109146,0.336422343056941,1056.19996025303,"index"
"Coastwide",2019,1164.42184791332,411.496736808437,3294.99147530072,7.05997997493257,0.530713264653503,1040.87728891387,"index"
"Coastwide",2021,1152.56452503644,630.314766645412,2107.52635773133,7.04974476032002,0.307926799100592,1039.70651131628,"index"
"Coastwide",2022,703.005860264363,316.44082890968,1561.79985139369,6.55536522785609,0.407267156191716,630.589873165295,"index"
"Coastwide",2023,1002.02821364,525.665029397921,1910.07673095657,6.90978143857375,0.329147504762484,902.030971498745,"index"
"Coastwide",2024,564.338842996837,255.297951590309,1247.47702725829,6.33565485655411,0.404713332558879,504.479499054816,"index"
"Coastwide",2025,734.455600403037,371.051061842288,1453.77573179581,6.59912954505033,0.348368574270304,658.853509924712,"index"
