"year","mean_depth","ci_lower","ci_upper"
2003,-157.406924319995,-158.848572729816,-156.089855697819
2004,-157.439492347195,-158.88035176526,-156.17713353111
2005,-157.559098136103,-158.852296917129,-156.338091293056
2006,-157.293801641188,-158.695857802807,-156.143391316377
2007,-157.424733864615,-158.922679281298,-156.202010928555
2008,-157.364118475265,-158.526293133801,-156.11444032361
2009,-157.397996652144,-158.598277916967,-156.314389550632
2010,-157.517332281235,-158.690099725996,-156.291234080717
2011,-157.405358739094,-158.825459061023,-156.093595492845
2012,-157.41874238,-158.525341896757,-156.031988945034
2013,-157.377178661812,-158.691777215428,-156.215754511661
2014,-157.434185109991,-158.887383479163,-156.303353317384
2015,-157.48566528025,-158.680940186748,-156.212561408602
2016,-157.40329293167,-158.788969084373,-155.982417053906
2017,-157.482941187122,-158.748668203933,-156.268519613053
2018,-157.425551846377,-158.761412007765,-156.304794150556
2019,-157.462306571814,-158.538217242846,-156.207484760649
2021,-157.338362344264,-158.568429461139,-156.205343807129
2022,-157.369661982427,-158.551685403689,-156.200085007451
2023,-157.535150878534,-158.777106111995,-156.04274823212
2024,-157.477571519046,-158.668531589895,-156.350967437804
2025,-157.427485819031,-158.656324943661,-156.130143948182
