"year","mean_depth","ci_lower","ci_upper"
2003,-175.107778109603,-176.728372937252,-173.624211790043
2004,-168.364505513935,-169.922363761646,-167.139012061407
2005,-174.822086869441,-176.012324022775,-173.4815109668
2006,-193.333541922254,-195.517109420939,-191.354112354294
2007,-176.14014569257,-177.572755701442,-174.416168403576
2008,-179.626066750651,-181.128978010512,-178.157388576464
2009,-181.185946272365,-182.549951365593,-179.834064815034
2010,-177.413600134592,-178.77895097449,-175.869240803685
2011,-180.686663541645,-182.350866570631,-179.170126986202
2012,-183.269754935821,-185.091376611748,-181.855255338734
2013,-170.290161170799,-171.7213473566,-169.008552682202
2014,-184.884955663785,-186.397689887643,-183.408120207679
2015,-177.791350379567,-179.2699771332,-175.995968865436
2016,-170.788598506943,-172.084353631924,-169.650934563086
2017,-164.283361084527,-165.323846874185,-163.2820285259
2018,-164.608190612683,-165.73553266606,-163.454376216224
2019,-163.727911929334,-164.725714870696,-162.774348153961
2021,-161.631063965785,-162.631176962336,-160.463361381167
2022,-172.368584361357,-173.714641325686,-170.88457783186
2023,-180.30053534712,-181.752024283405,-178.882013820306
2024,-168.427808775423,-169.761908343371,-167.154332753242
2025,-172.259106599682,-173.670409008074,-170.666447450212
