"year","mean_depth","ci_lower","ci_upper"
2003,-154.977350951398,-156.254111693314,-153.493582198732
2004,-137.994384362979,-139.050486554761,-136.808161645421
2005,-152.156439465311,-153.761309573944,-150.604656287721
2006,-139.237396620237,-140.702796221187,-137.857173155375
2007,-161.218425609987,-162.97661778166,-159.357438361796
2008,-145.190580262269,-146.779056460126,-143.83077083579
2009,-144.462193486084,-146.246553350198,-143.010226928721
2010,-156.751895274531,-158.24442578623,-155.152831212875
2011,-105.207507902268,-106.234582439387,-104.347680995621
2012,-145.431266707749,-146.092833153491,-144.900905783717
2013,-134.898118297957,-136.203627210211,-133.623305209273
2014,-143.818421066346,-144.840330413664,-142.470270864355
2015,-153.582246241441,-154.967179920188,-152.06926878792
2016,-147.323975122424,-148.689223237604,-146.239299208917
2017,-145.00101769758,-146.281508788804,-143.645311706705
2018,-127.024066312029,-128.733596990593,-125.437219030785
2019,-164.802220177421,-166.225961094139,-163.261345839246
2021,-146.823768918482,-147.930462119208,-145.793751471158
2022,-156.300723699687,-157.566977500253,-154.962763680674
2023,-135.333342817151,-136.401176731094,-134.221939155489
2024,-149.553393123608,-150.96550751612,-148.092085272819
2025,-147.04110398163,-148.110852624753,-145.990389776117
