"year","mean_depth","ci_lower","ci_upper"
2003,-154.887645796866,-155.783740433531,-153.929203917557
2004,-156.201695017225,-157.079707191683,-155.316083484884
2005,-156.52420809636,-157.379146005674,-155.676084555881
2006,-156.980505766055,-158.007271459588,-156.135056195826
2007,-155.931980181578,-156.769008066599,-155.067153631388
2008,-156.223999732469,-157.099685506336,-155.380933748801
2009,-157.259837544025,-158.352956852892,-156.35431154588
2010,-156.185341710771,-157.056532302191,-155.270396965258
2011,-156.377763243281,-157.236055966619,-155.527161026795
2012,-154.965081898451,-155.76721727567,-153.90863812841
2013,-155.635984364547,-156.591184506287,-154.851332960561
2014,-154.986682236164,-155.993069370274,-154.099706427224
2015,-155.351288895181,-156.257662026417,-154.475774201752
2016,-154.822846420669,-155.724907592172,-154.007591406935
2017,-154.823390193943,-155.615677254913,-153.887986087242
2018,-155.171396776178,-156.09064047142,-154.378593419524
2019,-154.659300300496,-155.607446862783,-153.760303456373
2021,-155.910514247045,-156.722530250677,-155.061029220793
2022,-155.580833063815,-156.580967879722,-154.699125926581
2023,-155.619270461615,-156.579393228035,-154.778099660673
2024,-155.755030495181,-156.586783915154,-154.901364510739
2025,-155.939094633344,-156.679335120424,-155.148417682131
