"year","mean_depth","ci_lower","ci_upper"
2003,-499.647993067699,-503.910505830996,-495.254450184463
2004,-494.975737760937,-498.521373669049,-491.766659294333
2005,-502.43757554499,-505.797022994173,-498.946157303766
2006,-498.258808114544,-502.799939906663,-494.323783394592
2007,-499.663464565191,-503.344572562252,-495.505483769955
2008,-496.771230986122,-500.375728729745,-492.731146331881
2009,-495.847815574882,-499.540311754177,-491.390055402179
2010,-498.927876038628,-502.501775026029,-495.113790095721
2011,-494.934819949851,-498.447283884132,-490.867494523765
2012,-499.541297314207,-503.465999363075,-495.841919770302
2013,-496.595152906917,-500.330640098868,-493.009547894364
2014,-502.324384341447,-506.219279756798,-498.490014098515
2015,-498.741021226793,-501.819949362027,-495.070379381626
2016,-499.155771942927,-503.528069910141,-495.132437928275
2017,-494.220758413299,-497.975947978703,-490.236343968743
2018,-494.849393311292,-498.895884129642,-491.308355107314
2019,-496.407747271521,-499.945889830536,-492.522905457046
2021,-495.865059241892,-499.666418382729,-491.732074510255
2022,-496.632673646541,-500.19172899366,-492.889717831175
2023,-497.408058875016,-500.954143074427,-493.574943349375
2024,-500.783528619457,-504.177273671822,-497.178194387685
2025,-497.367450619464,-501.136406632591,-493.144406949828
